asset_id,asset_name,department,asset_type,owner_role,location,criticality,internet_exposed,cloud_or_onprem,business_value,base_score
AST-0023,Network Switch_23,HR,Network Switch,HR Admin,Singapore,Low,No,On-Prem,18,3.6
AST-0024,Mobile Device_24,Legal,Mobile Device,Legal Admin,Tokyo,Low,No,On-Prem,77,15.4
AST-0025,IoT Device_25,Finance,IoT Device,Finance Admin,Dublin,Critical,No,On-Prem,91,91.0
AST-0026,Network Switch_26,Marketing,Network Switch,Marketing Admin,Tokyo,Medium,No,On-Prem,24,12.0
AST-0027,Workstation_27,Legal,Workstation,Legal Admin,On-Prem,Low,No,On-Prem,10,2.0
AST-0028,Mobile Device_28,Marketing,Mobile Device,Marketing Admin,New York,High,No,On-Prem,74,59.2
AST-0029,Network Switch_29,Marketing,Network Switch,Marketing Admin,Tokyo,High,No,On-Prem,29,23.200000000000003
AST-0030,Mobile Device_30,HR,Mobile Device,HR Admin,Singapore,Critical,No,On-Prem,51,51.0
AST-0031,Server_31,Finance,Server,Finance Admin,London,High,No,On-Prem,98,78.4
AST-0032,Workstation_32,Finance,Workstation,Finance Admin,On-Prem,Critical,No,On-Prem,72,72.0
AST-0033,Network Switch_33,R&D,Network Switch,R&D Admin,London,Critical,No,On-Prem,78,78.0
AST-0034,IoT Device_34,HR,IoT Device,HR Admin,London,Low,No,On-Prem,80,16.0
AST-0035,Mobile Device_35,Marketing,Mobile Device,Marketing Admin,Dublin,Low,No,On-Prem,37,7.4
AST-0036,IoT Device_36,Sales,IoT Device,Sales Admin,On-Prem,Medium,No,On-Prem,61,30.5
AST-0037,Cloud Instance_37,Operations,Cloud Instance,Operations Admin,London,Low,Yes,Cloud,25,5.0
AST-0038,Database_38,IT,Database,IT Admin,Dublin,Critical,Yes,On-Prem,88,88.0
AST-0039,Server_39,Sales,Server,Sales Admin,New York,Critical,Yes,On-Prem,17,17.0
AST-0040,Network Switch_40,Finance,Network Switch,Finance Admin,Dublin,High,No,On-Prem,72,57.6
AST-0041,Database_41,Sales,Database,Sales Admin,On-Prem,Low,Yes,On-Prem,37,7.4
AST-0042,Workstation_42,R&D,Workstation,R&D Admin,London,Low,No,On-Prem,62,12.4
AST-0043,Server_43,IT,Server,IT Admin,Singapore,High,No,On-Prem,81,64.8
AST-0044,Network Switch_44,R&D,Network Switch,R&D Admin,New York,Critical,No,On-Prem,22,22.0
AST-0045,IoT Device_45,Legal,IoT Device,Legal Admin,London,Medium,No,On-Prem,23,11.5
AST-0046,Workstation_46,Sales,Workstation,Sales Admin,Singapore,Low,No,On-Prem,27,5.4
AST-0047,Database_47,HR,Database,HR Admin,Singapore,Low,Yes,On-Prem,41,8.200000000000001
AST-0048,Server_48,IT,Server,IT Admin,London,Critical,Yes,On-Prem,72,72.0
AST-0049,Cloud Instance_49,Legal,Cloud Instance,Legal Admin,New York,Low,No,Cloud,37,7.4
AST-0050,Cloud Instance_50,HR,Cloud Instance,HR Admin,Singapore,Critical,No,Cloud,59,59.0
AST-0051,Cloud Instance_51,Marketing,Cloud Instance,Marketing Admin,Tokyo,Low,Yes,Cloud,29,5.800000000000001
AST-0052,Server_52,Sales,Server,Sales Admin,New York,Critical,Yes,On-Prem,50,50.0
AST-0053,Mobile Device_53,R&D,Mobile Device,R&D Admin,Dublin,High,No,On-Prem,17,13.600000000000001
AST-0054,Network Switch_54,IT,Network Switch,IT Admin,Dublin,Critical,No,On-Prem,72,72.0
AST-0055,IoT Device_55,IT,IoT Device,IT Admin,New York,Critical,No,On-Prem,82,82.0
AST-0056,Mobile Device_56,Sales,Mobile Device,Sales Admin,Singapore,Critical,No,On-Prem,20,20.0
AST-0057,Database_57,Operations,Database,Operations Admin,Tokyo,High,Yes,On-Prem,50,40.0
AST-0058,Workstation_58,Legal,Workstation,Legal Admin,Tokyo,Medium,No,On-Prem,68,34.0
AST-0059,Server_59,IT,Server,IT Admin,New York,High,Yes,On-Prem,89,71.2
AST-0060,Mobile Device_60,Sales,Mobile Device,Sales Admin,Tokyo,Medium,No,On-Prem,26,13.0
AST-0061,Workstation_61,IT,Workstation,IT Admin,London,High,No,On-Prem,79,63.2
AST-0062,Network Switch_62,R&D,Network Switch,R&D Admin,New York,Medium,No,On-Prem,77,38.5
AST-0063,IoT Device_63,Marketing,IoT Device,Marketing Admin,Tokyo,Critical,No,On-Prem,27,27.0
AST-0064,Server_64,IT,Server,IT Admin,Dublin,Critical,No,On-Prem,78,78.0
AST-0065,IoT Device_65,Sales,IoT Device,Sales Admin,On-Prem,Medium,No,On-Prem,36,18.0
AST-0066,Mobile Device_66,Marketing,Mobile Device,Marketing Admin,New York,Low,No,On-Prem,42,8.4
AST-0067,IoT Device_67,IT,IoT Device,IT Admin,Tokyo,High,No,On-Prem,96,76.80000000000001
AST-0068,Server_68,Finance,Server,Finance Admin,On-Prem,High,Yes,On-Prem,94,75.2
AST-0069,Workstation_69,Marketing,Workstation,Marketing Admin,On-Prem,Low,No,On-Prem,80,16.0
AST-0070,Mobile Device_70,Legal,Mobile Device,Legal Admin,New York,Critical,No,On-Prem,24,24.0
AST-0071,Mobile Device_71,HR,Mobile Device,HR Admin,Dublin,Critical,No,On-Prem,57,57.0
AST-0072,Cloud Instance_72,HR,Cloud Instance,HR Admin,Tokyo,High,No,Cloud,15,12.0
AST-0073,Database_73,Finance,Database,Finance Admin,On-Prem,Critical,Yes,On-Prem,91,91.0
AST-0074,Database_74,IT,Database,IT Admin,London,High,Yes,On-Prem,89,71.2
AST-0075,Network Switch_75,HR,Network Switch,HR Admin,New York,High,No,On-Prem,62,49.6
AST-0076,IoT Device_76,HR,IoT Device,HR Admin,On-Prem,Medium,No,On-Prem,62,31.0
AST-0077,Database_77,Sales,Database,Sales Admin,New York,High,No,On-Prem,23,18.400000000000002
AST-0078,Workstation_78,R&D,Workstation,R&D Admin,Tokyo,High,No,On-Prem,68,54.400000000000006
AST-0079,Network Switch_79,Marketing,Network Switch,Marketing Admin,New York,High,No,On-Prem,38,30.400000000000002
AST-0080,Cloud Instance_80,Sales,Cloud Instance,Sales Admin,Tokyo,Medium,Yes,Cloud,45,22.5
AST-0081,IoT Device_81,Operations,IoT Device,Operations Admin,Tokyo,Low,No,On-Prem,78,15.600000000000001
AST-0082,Server_82,Finance,Server,Finance Admin,New York,High,No,On-Prem,75,60.0
AST-0083,Mobile Device_83,IT,Mobile Device,IT Admin,On-Prem,High,No,On-Prem,81,64.8
AST-0084,Cloud Instance_84,Operations,Cloud Instance,Operations Admin,Tokyo,Critical,Yes,Cloud,59,59.0
AST-0085,IoT Device_85,Finance,IoT Device,Finance Admin,Dublin,High,No,On-Prem,70,56.0
AST-0086,Database_86,Sales,Database,Sales Admin,Dublin,Low,No,On-Prem,18,3.6
AST-0087,IoT Device_87,Operations,IoT Device,Operations Admin,Dublin,Critical,No,On-Prem,48,48.0
AST-0088,IoT Device_88,Marketing,IoT Device,Marketing Admin,Singapore,Low,No,On-Prem,51,10.200000000000001
AST-0089,Mobile Device_89,Marketing,Mobile Device,Marketing Admin,Singapore,High,No,On-Prem,34,27.200000000000003
AST-0090,IoT Device_90,Legal,IoT Device,Legal Admin,Singapore,High,No,On-Prem,48,38.400000000000006
AST-0091,Database_91,Finance,Database,Finance Admin,Dublin,High,No,On-Prem,76,60.800000000000004
AST-0092,Cloud Instance_92,Operations,Cloud Instance,Operations Admin,Dublin,Low,Yes,Cloud,66,13.200000000000001
AST-0093,Network Switch_93,R&D,Network Switch,R&D Admin,Tokyo,High,No,On-Prem,20,16.0
AST-0094,Server_94,Operations,Server,Operations Admin,London,High,Yes,On-Prem,49,39.2
AST-0095,Server_95,HR,Server,HR Admin,Dublin,Critical,No,On-Prem,41,41.0
AST-0096,Cloud Instance_96,IT,Cloud Instance,IT Admin,On-Prem,High,Yes,Cloud,98,78.4
AST-0097,Cloud Instance_97,Legal,Cloud Instance,Legal Admin,On-Prem,Low,Yes,Cloud,41,8.200000000000001
AST-0098,Network Switch_98,Finance,Network Switch,Finance Admin,Singapore,Critical,No,On-Prem,94,94.0
AST-0099,Workstation_99,Sales,Workstation,Sales Admin,Dublin,Low,No,On-Prem,16,3.2
AST-0100,Network Switch_100,Sales,Network Switch,Sales Admin,London,Critical,No,On-Prem,68,68.0
AST-0101,IoT Device_101,R&D,IoT Device,R&D Admin,Dublin,Medium,No,On-Prem,66,33.0
AST-0102,Network Switch_102,Legal,Network Switch,Legal Admin,On-Prem,Low,No,On-Prem,30,6.0
AST-0103,Cloud Instance_103,R&D,Cloud Instance,R&D Admin,Dublin,Medium,No,Cloud,41,20.5
AST-0104,IoT Device_104,R&D,IoT Device,R&D Admin,Singapore,High,No,On-Prem,45,36.0
AST-0105,IoT Device_105,IT,IoT Device,IT Admin,Tokyo,High,No,On-Prem,77,61.6
AST-0106,Database_106,Operations,Database,Operations Admin,London,Critical,Yes,On-Prem,27,27.0
AST-0107,IoT Device_107,Legal,IoT Device,Legal Admin,New York,High,No,On-Prem,37,29.6
AST-0108,Cloud Instance_108,Legal,Cloud Instance,Legal Admin,Singapore,Medium,No,Cloud,79,39.5
AST-0109,Workstation_109,Finance,Workstation,Finance Admin,Dublin,High,No,On-Prem,82,65.60000000000001
AST-0110,Network Switch_110,Finance,Network Switch,Finance Admin,New York,High,No,On-Prem,85,68.0
AST-0111,Database_111,Operations,Database,Operations Admin,Singapore,Low,Yes,On-Prem,63,12.600000000000001
AST-0112,Database_112,Sales,Database,Sales Admin,Singapore,Low,Yes,On-Prem,72,14.4
AST-0113,IoT Device_113,Operations,IoT Device,Operations Admin,Singapore,Low,No,On-Prem,31,6.2
AST-0114,Mobile Device_114,HR,Mobile Device,HR Admin,Dublin,Critical,No,On-Prem,60,60.0
AST-0115,Server_115,Finance,Server,Finance Admin,London,High,No,On-Prem,74,59.2
AST-0116,Database_116,Finance,Database,Finance Admin,Singapore,High,Yes,On-Prem,80,64.0
AST-0117,Database_117,Operations,Database,Operations Admin,Tokyo,Low,No,On-Prem,45,9.0
AST-0118,Cloud Instance_118,IT,Cloud Instance,IT Admin,Tokyo,Critical,Yes,Cloud,93,93.0
AST-0119,IoT Device_119,Sales,IoT Device,Sales Admin,New York,Critical,No,On-Prem,15,15.0
AST-0120,Workstation_120,Sales,Workstation,Sales Admin,London,Critical,No,On-Prem,29,29.0
AST-0121,Cloud Instance_121,HR,Cloud Instance,HR Admin,On-Prem,Critical,No,Cloud,37,37.0
AST-0122,Network Switch_122,Marketing,Network Switch,Marketing Admin,Dublin,Medium,No,On-Prem,31,15.5
AST-0123,Network Switch_123,IT,Network Switch,IT Admin,Tokyo,Critical,No,On-Prem,100,100.0
AST-0124,Mobile Device_124,IT,Mobile Device,IT Admin,Tokyo,Critical,No,On-Prem,99,99.0
AST-0125,Cloud Instance_125,Legal,Cloud Instance,Legal Admin,New York,High,Yes,Cloud,19,15.200000000000001
AST-0126,Network Switch_126,Marketing,Network Switch,Marketing Admin,Tokyo,Critical,No,On-Prem,15,15.0
AST-0127,IoT Device_127,Legal,IoT Device,Legal Admin,Dublin,Medium,No,On-Prem,18,9.0
AST-0128,Server_128,Operations,Server,Operations Admin,Singapore,Low,Yes,On-Prem,72,14.4
AST-0129,IoT Device_129,Operations,IoT Device,Operations Admin,Singapore,Low,No,On-Prem,29,5.800000000000001
AST-0130,IoT Device_130,HR,IoT Device,HR Admin,Singapore,Medium,No,On-Prem,78,39.0
AST-0131,Cloud Instance_131,R&D,Cloud Instance,R&D Admin,New York,Medium,Yes,Cloud,51,25.5
AST-0132,Cloud Instance_132,Marketing,Cloud Instance,Marketing Admin,Tokyo,High,No,Cloud,69,55.2
AST-0133,Cloud Instance_133,Finance,Cloud Instance,Finance Admin,London,High,No,Cloud,75,60.0
AST-0134,Network Switch_134,Operations,Network Switch,Operations Admin,Tokyo,Medium,No,On-Prem,53,26.5
AST-0135,Mobile Device_135,Marketing,Mobile Device,Marketing Admin,London,Critical,No,On-Prem,76,76.0
AST-0136,Workstation_136,IT,Workstation,IT Admin,Dublin,High,No,On-Prem,85,68.0
AST-0137,IoT Device_137,Sales,IoT Device,Sales Admin,Singapore,Low,No,On-Prem,72,14.4
AST-0138,Server_138,Finance,Server,Finance Admin,On-Prem,High,No,On-Prem,77,61.6
AST-0139,Database_139,Sales,Database,Sales Admin,Singapore,Medium,No,On-Prem,70,35.0
AST-0140,Database_140,Operations,Database,Operations Admin,Tokyo,Low,No,On-Prem,44,8.8
AST-0141,Server_141,Sales,Server,Sales Admin,On-Prem,High,Yes,On-Prem,50,40.0
AST-0142,Workstation_142,HR,Workstation,HR Admin,Tokyo,High,No,On-Prem,71,56.800000000000004
AST-0143,Server_143,Marketing,Server,Marketing Admin,Tokyo,High,Yes,On-Prem,47,37.6
AST-0144,Database_144,HR,Database,HR Admin,Tokyo,Critical,Yes,On-Prem,78,78.0
AST-0145,Server_145,Finance,Server,Finance Admin,On-Prem,High,Yes,On-Prem,92,73.60000000000001
AST-0146,Server_146,R&D,Server,R&D Admin,Singapore,Critical,No,On-Prem,46,46.0
AST-0147,Database_147,R&D,Database,R&D Admin,Singapore,High,No,On-Prem,16,12.8
AST-0148,Network Switch_148,IT,Network Switch,IT Admin,Singapore,Critical,No,On-Prem,82,82.0
AST-0149,Mobile Device_149,IT,Mobile Device,IT Admin,London,Critical,No,On-Prem,74,74.0
AST-0150,Server_150,Marketing,Server,Marketing Admin,Dublin,High,No,On-Prem,25,20.0
AST-0151,Network Switch_151,Sales,Network Switch,Sales Admin,Singapore,Low,No,On-Prem,67,13.4
AST-0152,Network Switch_152,Marketing,Network Switch,Marketing Admin,Dublin,Low,No,On-Prem,49,9.8
AST-0153,Mobile Device_153,Finance,Mobile Device,Finance Admin,London,Critical,No,On-Prem,100,100.0
AST-0154,Database_154,Sales,Database,Sales Admin,London,Critical,Yes,On-Prem,30,30.0
AST-0155,Workstation_155,IT,Workstation,IT Admin,Singapore,Critical,No,On-Prem,83,83.0
AST-0156,Database_156,R&D,Database,R&D Admin,On-Prem,Critical,No,On-Prem,39,39.0
AST-0157,IoT Device_157,Marketing,IoT Device,Marketing Admin,On-Prem,Low,No,On-Prem,19,3.8000000000000003
AST-0158,Database_158,Sales,Database,Sales Admin,Dublin,High,Yes,On-Prem,64,51.2
AST-0159,IoT Device_159,Sales,IoT Device,Sales Admin,London,High,No,On-Prem,44,35.2
AST-0160,Server_160,IT,Server,IT Admin,Dublin,Critical,No,On-Prem,95,95.0
AST-0161,Cloud Instance_161,Marketing,Cloud Instance,Marketing Admin,On-Prem,Critical,No,Cloud,69,69.0
AST-0162,Database_162,Legal,Database,Legal Admin,Dublin,Low,Yes,On-Prem,66,13.200000000000001
AST-0163,Cloud Instance_163,Finance,Cloud Instance,Finance Admin,New York,High,No,Cloud,89,71.2
AST-0164,Workstation_164,IT,Workstation,IT Admin,On-Prem,Critical,No,On-Prem,94,94.0
AST-0165,Mobile Device_165,Marketing,Mobile Device,Marketing Admin,Singapore,Critical,No,On-Prem,32,32.0
AST-0166,Database_166,R&D,Database,R&D Admin,New York,High,No,On-Prem,65,52.0
AST-0167,Database_167,R&D,Database,R&D Admin,On-Prem,Low,No,On-Prem,52,10.4
AST-0168,Network Switch_168,IT,Network Switch,IT Admin,Singapore,Critical,No,On-Prem,80,80.0
AST-0169,Database_169,R&D,Database,R&D Admin,Singapore,Low,Yes,On-Prem,80,16.0
AST-0170,Database_170,IT,Database,IT Admin,Singapore,High,Yes,On-Prem,80,64.0
AST-0171,IoT Device_171,Finance,IoT Device,Finance Admin,New York,High,No,On-Prem,83,66.4
AST-0172,Mobile Device_172,Sales,Mobile Device,Sales Admin,On-Prem,Medium,No,On-Prem,73,36.5
AST-0173,Network Switch_173,R&D,Network Switch,R&D Admin,Tokyo,Critical,No,On-Prem,36,36.0
AST-0174,Database_174,HR,Database,HR Admin,New York,Low,Yes,On-Prem,72,14.4
AST-0175,IoT Device_175,Sales,IoT Device,Sales Admin,Dublin,High,No,On-Prem,49,39.2
AST-0176,Mobile Device_176,Finance,Mobile Device,Finance Admin,London,High,No,On-Prem,72,57.6
AST-0177,Cloud Instance_177,IT,Cloud Instance,IT Admin,Singapore,Critical,Yes,Cloud,90,90.0
AST-0178,Mobile Device_178,Marketing,Mobile Device,Marketing Admin,Singapore,Medium,No,On-Prem,63,31.5
AST-0179,Workstation_179,R&D,Workstation,R&D Admin,London,Low,No,On-Prem,80,16.0
AST-0180,Workstation_180,Legal,Workstation,Legal Admin,Tokyo,High,No,On-Prem,18,14.4
AST-0181,Database_181,Legal,Database,Legal Admin,On-Prem,Medium,No,On-Prem,10,5.0
AST-0182,Network Switch_182,Marketing,Network Switch,Marketing Admin,Singapore,Low,No,On-Prem,29,5.800000000000001
AST-0183,Database_183,R&D,Database,R&D Admin,Singapore,Medium,No,On-Prem,80,40.0
AST-0184,Network Switch_184,Operations,Network Switch,Operations Admin,Dublin,High,No,On-Prem,40,32.0
AST-0185,Workstation_185,Legal,Workstation,Legal Admin,Tokyo,Low,No,On-Prem,15,3.0
AST-0186,IoT Device_186,R&D,IoT Device,R&D Admin,On-Prem,Low,No,On-Prem,59,11.8
AST-0187,Cloud Instance_187,HR,Cloud Instance,HR Admin,New York,Critical,No,Cloud,26,26.0
AST-0188,Server_188,R&D,Server,R&D Admin,Singapore,Low,Yes,On-Prem,11,2.2
AST-0189,Server_189,HR,Server,HR Admin,Dublin,Low,No,On-Prem,43,8.6
AST-0190,IoT Device_190,Legal,IoT Device,Legal Admin,On-Prem,Critical,No,On-Prem,52,52.0
AST-0191,Database_191,Legal,Database,Legal Admin,Dublin,Low,Yes,On-Prem,79,15.8
AST-0192,Workstation_192,IT,Workstation,IT Admin,On-Prem,High,No,On-Prem,77,61.6
AST-0193,Cloud Instance_193,IT,Cloud Instance,IT Admin,Singapore,Critical,Yes,Cloud,94,94.0
AST-0194,IoT Device_194,HR,IoT Device,HR Admin,New York,Medium,No,On-Prem,13,6.5
AST-0195,Network Switch_195,Operations,Network Switch,Operations Admin,Tokyo,Critical,No,On-Prem,47,47.0
AST-0196,Cloud Instance_196,Operations,Cloud Instance,Operations Admin,Dublin,High,No,Cloud,41,32.800000000000004
AST-0197,Workstation_197,HR,Workstation,HR Admin,Dublin,High,No,On-Prem,20,16.0
AST-0198,Mobile Device_198,Legal,Mobile Device,Legal Admin,Dublin,High,No,On-Prem,73,58.400000000000006
AST-0199,Workstation_199,HR,Workstation,HR Admin,Singapore,Low,No,On-Prem,42,8.4
AST-0200,IoT Device_200,Marketing,IoT Device,Marketing Admin,Tokyo,Critical,No,On-Prem,69,69.0
AST-0201,Server_201,HR,Server,HR Admin,On-Prem,Low,No,On-Prem,54,10.8
AST-0202,IoT Device_202,Legal,IoT Device,Legal Admin,Tokyo,Medium,No,On-Prem,68,34.0
AST-0203,Cloud Instance_203,Sales,Cloud Instance,Sales Admin,Singapore,Low,Yes,Cloud,23,4.6000000000000005
AST-0204,Mobile Device_204,Operations,Mobile Device,Operations Admin,New York,Medium,No,On-Prem,47,23.5
AST-0205,Database_205,Legal,Database,Legal Admin,Tokyo,Critical,No,On-Prem,16,16.0
AST-0206,Mobile Device_206,Sales,Mobile Device,Sales Admin,On-Prem,Medium,No,On-Prem,38,19.0
AST-0207,Mobile Device_207,Sales,Mobile Device,Sales Admin,On-Prem,Medium,No,On-Prem,27,13.5
AST-0208,IoT Device_208,IT,IoT Device,IT Admin,Singapore,Critical,No,On-Prem,79,79.0
AST-0209,Mobile Device_209,Finance,Mobile Device,Finance Admin,London,High,No,On-Prem,93,74.4
AST-0210,Database_210,IT,Database,IT Admin,London,High,No,On-Prem,93,74.4
AST-0211,Workstation_211,Sales,Workstation,Sales Admin,Dublin,Medium,No,On-Prem,77,38.5
AST-0212,Network Switch_212,Marketing,Network Switch,Marketing Admin,Singapore,High,No,On-Prem,42,33.6
AST-0213,IoT Device_213,Marketing,IoT Device,Marketing Admin,Singapore,Medium,No,On-Prem,24,12.0
AST-0214,Workstation_214,IT,Workstation,IT Admin,On-Prem,Critical,No,On-Prem,97,97.0
AST-0215,Network Switch_215,Legal,Network Switch,Legal Admin,Singapore,Medium,No,On-Prem,21,10.5
AST-0216,Database_216,Finance,Database,Finance Admin,On-Prem,Critical,No,On-Prem,84,84.0
AST-0217,Mobile Device_217,Marketing,Mobile Device,Marketing Admin,New York,Low,No,On-Prem,57,11.4
AST-0218,Cloud Instance_218,Sales,Cloud Instance,Sales Admin,On-Prem,Critical,Yes,Cloud,51,51.0
AST-0219,IoT Device_219,IT,IoT Device,IT Admin,On-Prem,High,No,On-Prem,99,79.2
AST-0220,IoT Device_220,Marketing,IoT Device,Marketing Admin,London,Low,No,On-Prem,24,4.800000000000001
AST-0221,Server_221,Finance,Server,Finance Admin,New York,High,Yes,On-Prem,85,68.0
AST-0222,Mobile Device_222,Sales,Mobile Device,Sales Admin,Singapore,High,No,On-Prem,59,47.2
AST-0223,IoT Device_223,Operations,IoT Device,Operations Admin,Singapore,Low,No,On-Prem,29,5.800000000000001
AST-0224,Network Switch_224,IT,Network Switch,IT Admin,Singapore,High,No,On-Prem,89,71.2
AST-0225,Server_225,Marketing,Server,Marketing Admin,Singapore,Medium,No,On-Prem,37,18.5
AST-0226,Network Switch_226,Sales,Network Switch,Sales Admin,On-Prem,Medium,No,On-Prem,22,11.0
AST-0227,Mobile Device_227,Operations,Mobile Device,Operations Admin,Singapore,Medium,No,On-Prem,17,8.5
AST-0228,Workstation_228,Marketing,Workstation,Marketing Admin,New York,Critical,No,On-Prem,68,68.0
AST-0229,IoT Device_229,Sales,IoT Device,Sales Admin,Tokyo,Critical,No,On-Prem,16,16.0
AST-0230,Workstation_230,Sales,Workstation,Sales Admin,Dublin,High,No,On-Prem,18,14.4
AST-0231,Mobile Device_231,Sales,Mobile Device,Sales Admin,Tokyo,High,No,On-Prem,39,31.200000000000003
AST-0232,Network Switch_232,HR,Network Switch,HR Admin,London,Critical,No,On-Prem,45,45.0
AST-0233,Mobile Device_233,HR,Mobile Device,HR Admin,New York,Medium,No,On-Prem,32,16.0
AST-0234,Workstation_234,Finance,Workstation,Finance Admin,London,Critical,No,On-Prem,81,81.0
AST-0235,Server_235,Operations,Server,Operations Admin,London,High,Yes,On-Prem,43,34.4
AST-0236,Mobile Device_236,Legal,Mobile Device,Legal Admin,Singapore,Critical,No,On-Prem,18,18.0
AST-0237,Network Switch_237,R&D,Network Switch,R&D Admin,Dublin,Medium,No,On-Prem,75,37.5
AST-0238,Cloud Instance_238,IT,Cloud Instance,IT Admin,On-Prem,Critical,Yes,Cloud,100,100.0
AST-0239,Cloud Instance_239,Marketing,Cloud Instance,Marketing Admin,Singapore,Critical,No,Cloud,17,17.0
AST-0240,IoT Device_240,Legal,IoT Device,Legal Admin,On-Prem,Critical,No,On-Prem,72,72.0
AST-0241,Server_241,R&D,Server,R&D Admin,New York,Critical,Yes,On-Prem,51,51.0
AST-0242,Database_242,HR,Database,HR Admin,Singapore,Medium,No,On-Prem,58,29.0
AST-0243,Server_243,Legal,Server,Legal Admin,Singapore,Critical,Yes,On-Prem,80,80.0
AST-0244,Workstation_244,R&D,Workstation,R&D Admin,Singapore,Low,No,On-Prem,53,10.600000000000001
AST-0245,Cloud Instance_245,Legal,Cloud Instance,Legal Admin,Tokyo,Critical,No,Cloud,50,50.0
AST-0246,Database_246,Marketing,Database,Marketing Admin,New York,High,Yes,On-Prem,70,56.0
AST-0247,Server_247,IT,Server,IT Admin,London,High,No,On-Prem,73,58.400000000000006
AST-0248,Mobile Device_248,Finance,Mobile Device,Finance Admin,New York,High,No,On-Prem,91,72.8
AST-0249,Database_249,Legal,Database,Legal Admin,Dublin,Low,No,On-Prem,16,3.2
AST-0250,Database_250,Marketing,Database,Marketing Admin,London,Critical,Yes,On-Prem,74,74.0
AST-0251,Workstation_251,R&D,Workstation,R&D Admin,Dublin,Critical,No,On-Prem,54,54.0
AST-0252,Server_252,Operations,Server,Operations Admin,Dublin,Medium,No,On-Prem,38,19.0
AST-0253,Mobile Device_253,Finance,Mobile Device,Finance Admin,London,High,No,On-Prem,70,56.0
AST-0254,IoT Device_254,Marketing,IoT Device,Marketing Admin,Tokyo,Medium,No,On-Prem,53,26.5
AST-0255,Workstation_255,Finance,Workstation,Finance Admin,On-Prem,Critical,No,On-Prem,88,88.0
AST-0256,Server_256,Legal,Server,Legal Admin,On-Prem,High,Yes,On-Prem,13,10.4
AST-0257,Cloud Instance_257,Sales,Cloud Instance,Sales Admin,London,Low,No,Cloud,68,13.600000000000001
AST-0258,Database_258,Operations,Database,Operations Admin,London,Medium,Yes,On-Prem,20,10.0
AST-0259,Network Switch_259,HR,Network Switch,HR Admin,Tokyo,Critical,No,On-Prem,20,20.0
AST-0260,IoT Device_260,R&D,IoT Device,R&D Admin,Dublin,Low,No,On-Prem,72,14.4
AST-0261,Cloud Instance_261,R&D,Cloud Instance,R&D Admin,Tokyo,Medium,Yes,Cloud,37,18.5
AST-0262,Server_262,Legal,Server,Legal Admin,New York,Medium,No,On-Prem,72,36.0
AST-0263,Cloud Instance_263,Sales,Cloud Instance,Sales Admin,Tokyo,Critical,Yes,Cloud,10,10.0
AST-0264,Network Switch_264,Sales,Network Switch,Sales Admin,Tokyo,High,No,On-Prem,42,33.6
AST-0265,Server_265,Operations,Server,Operations Admin,London,Critical,No,On-Prem,73,73.0
AST-0266,Cloud Instance_266,HR,Cloud Instance,HR Admin,New York,High,No,Cloud,74,59.2
